,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Resident Population Aged 15 Years and Over by Age Group, Religion and Sex (Census of Population 2010)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 06/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number,
  60 - 64,196418,96557,99861,28729,17061,11667,71699,34346,37353,32552,16087,16465,22802,10910,11892,6057,2988,3069,497,263,234,14775,6518,8257,18481,8014,10466,827,368,458,
  65 - 69,113609,54368,59241,15448,9317,6131,42515,19624,22891,21313,10375,10938,11686,5788,5898,3302,1458,1843,324,70,253,8369,3493,4877,10198,4065,6133,454,177,277,
  70 - 74,95333,44472,50861,12075,7496,4579,35278,15922,19356,17185,8018,9167,10157,4876,5281,2950,1220,1730,376,140,236,7846,3364,4482,9195,3347,5848,271,89,182,
  75 - 79,66508,28195,38313,6983,4212,2771,23994,9406,14587,13124,5715,7409,7785,3345,4440,2143,924,1219,288,125,163,4852,1955,2897,7091,2419,4672,249,93,156,
  80 - 84,40546,15481,25066,3931,2049,1882,14793,5031,9762,8145,2847,5297,4011,1891,2120,1463,775,688,145,44,100,3034,1158,1876,4853,1596,3258,172,90,83,
  85 & Over,28071,9024,19047,3055,1428,1628,10548,2919,7629,5630,1510,4121,2270,1058,1212,604,293,311,121,50,70,2071,653,1418,3665,1075,2590,106,38,68,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taoism:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* 'Taoism' includes Chinese Traditional Beliefs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Population:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident population comprises two groups of people. They are Singapore Citizens and Permanent Residents. The latter group refers to non-Citizens who have been granted permanent residence here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 20/01/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
